섬코드,섬이름,시군구,confidence,geom_source,area_km2,섬이름_c,cluster,bottleneck_type,Y_time_emergency,sea_leg_min,land_leg_emergency_min,dist_main_km,인구밀도(명/㎢),2024년 총인구,pop,cx,cy
461101001,고하도,목포시,medium,shp,2.894162671779049,고하도,0,육지지배형,13.3635,0.0,13.3635,1.3583434941395116,37.3,123,123,895878.7328252639,1641556.6207303707
461101002,율도,목포시,high,shp,1.4150668668185205,율도,0,혼합형,11.391109414549588,5.661109414549587,5.73,2.8305547072747936,69.5,174,174,892509.7872160344,1645959.4179652834
461101003,달리도,목포시,high,shp,3.9723233470876558,달리도,0,육지지배형,50.10495354558055,4.116453545580546,45.9885,2.058226772790273,53.5,213,213,891653.545267017,1642755.4428357347
461101004,외달도,목포시,high,shp,0.4812595940989243,외달도,0,육지지배형,51.56369214860658,4.397692148606572,47.166,2.198846074303286,157.9,76,76,889902.6395747677,1643443.5417066228
461101005,장좌도,목포시,high,shp,0.2816278339423997,장좌도,0,육지지배형,9.256793361106553,3.5267933611065514,5.73,1.7633966805532757,3.6,1,1,893700.2870650529,1644408.5977940105
461101006,우도,목포시,high,shp,0.048868346374306273,우도,0,혼합형,9.935184573819583,4.205184573819582,5.73,2.102592286909791,20.4,1,1,893186.415610389,1644846.870006169
461301001,야도,여수시,high,shp,0.05128198339277426,야도,0,육지지배형,6.500145016257929,1.0551450162579288,5.445,0.5275725081289644,77.5,4,4,1019356.2864325079,1636233.2447914165
461301002,대경도,여수시,high,shp,1.8415288327158381,대경도,0,육지지배형,11.374570201411716,4.035070201411717,7.339499999999999,2.0175351007058584,224.4,527,527,1020872.6388916859,1635011.1068063856
461301003,소경도,여수시,high,shp,0.4182143760445236,소경도,0,혼합형,9.717070776029498,3.9720707760294975,5.745,1.9860353880147488,206.0,86,86,1018901.3402705216,1634769.7392381392
461301004,묘도,여수시,high,shp,10.658633359066371,묘도,0,육지지배형,14.079,0.0,14.079,1.5032656043936032,94.0,1076,1076,1020246.3313100435,1654375.6693111123
461301005,돌산도,여수시,medium,buffer,70.13570851916258,돌산도,0,육지지배형,13.797,0.0,13.797,4.747381604558308,171.1,12020,12020,1024124.2861379897,1628044.0341839122
461301006,송도(돌산읍),여수시,high,shp,0.9392672439857009,송도(돌산읍),0,육지지배형,39.93218103613138,2.3526810361313766,37.5795,1.1763405180656883,146.0,137,137,1019571.8538431803,1623788.8055324578
