연번,시도,시군구,위도,경도,섬이름,섬코드,육지b연결유무,여객선 유도선 운항여부,접안시설 보유,개발대상섬,성장촉진지역,특수상황지역,인구감소지역,먼섬특별법,2023년 총인구,증감률,증감량,2024년 총인구,2024년 세대,2024년 남자인구,2024년 여자인구,해안선 데이터 기준 면적(제곱키로미터),해안선길이(키로미터),지적도 기준 면적(제곱키로미터),읍면동사무소_본청,읍면동사무소 출장소 행정지원센터,경찰서,파출소,지구대,치안센터,해양경찰서,해경파출소,해경출장소,소방서,119안전센터,119지역대,우체국,NH농협은행,지역농축협,하나로마트,SH수협은행,수협 회원 조합,종합병원 시설 수,종합병원 병상 수,종합병원 의사 수,병원 시설 수,병원 병상 수,병원 의사 수,요양병원 시설 수,요양병원 병상 수,요양병원 의사 수,치과병원 시설 수,치과병원 병상 수,치과병원 의사 수,정신병원 시설 수,정신병원 병상 수,정신병원 의사 수,한방병원 시설 수,한방병원 병상 수,한방병원 의사 수,의원 시설 수,의원 병상 수,의원 의사 수,치과의원 시설 수,치과의원 병상 수,치과의원 의사 수,한의원 시설 수,한의원 병상 수,한의원 의사 수,보건소 시설 수,보건소 병상 수,보건소 의사 수,보건의료원 시설 수,보건의료원 병상 수,보건의료원 의사 수,보건지소 시설 수,보건지소 병상 수,보건지소 의사 수,보건진료소 시설 수,보건진료소 병상 수,보건진료소 의사 수,약국,어린이집 시설,어린이집 정원,어린이집 유아,어린이집 교직원,유치원 시설,유치원 학급,유치원 정원,유치원 유아,유치원 교직원,초등학교 시설,초등학교 학급,초등학교 학생,초등학교 교직원,중학교 시설,중학교 학급,중학교 학생,중학교 교직원,고등학교 시설,고등학교 학급,고등학교 학생,고등학교 교직원,초등학교 총 폐교,초등학교 매각폐교,초등학교 보유폐교,중학교 총 폐교,중학교 매각폐교,중학교 보유폐교,고등학교 총 폐교,고등학교 매각폐교,고등학교 보유폐교,상수도,지하수(관정),해수담수화시설,소규모급수시설,운반급수,빗물 저장,생수 배달,생활용수 기타,송전,디젤발전,태양광발전,풍력발전,전력공급 기타,acc_health_2020_mean,acc_health_2020_min,acc_health_2020_max,acc_health_2021_mean,acc_health_2021_min,acc_health_2021_max,acc_health_2022_mean,acc_health_2022_min,acc_health_2022_max,acc_health_2023_mean,acc_health_2023_min,acc_health_2023_max,acc_emergency_2020_mean,acc_emergency_2020_min,acc_emergency_2020_max,acc_emergency_2021_mean,acc_emergency_2021_min,acc_emergency_2021_max,acc_emergency_2022_mean,acc_emergency_2022_min,acc_emergency_2022_max,acc_emergency_2023_mean,acc_emergency_2023_min,acc_emergency_2023_max,acc_clinic_2020_mean,acc_clinic_2020_min,acc_clinic_2020_max,acc_clinic_2021_mean,acc_clinic_2021_min,acc_clinic_2021_max,acc_clinic_2022_mean,acc_clinic_2022_min,acc_clinic_2022_max,acc_clinic_2023_mean,acc_clinic_2023_min,acc_clinic_2023_max,grid_count,ferry_time_actual,최단소요_min,최단소요_max,총운항편수_편도,경유항로수,ferry_available,access_allnull,has_emergency_onisland,has_clinic_onisland,dist_main_km,sea_leg_min,sea_leg_source,land_leg_emergency_km,land_leg_clinic_km,land_leg_emergency_min,land_leg_clinic_min,Y_time_emergency,Y_time_clinic
72,전라남도,고흥군,34.70321922,127.4152907,옥금도,467701019,연결,미운항,미보유,해당 없음,해당,해당 없음,해당,해당 없음,21,0.00%,0,21,14,11,10,0.2921,3.1319,0.2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,7.757581454,7.757581454,7.757581454,5.857,5.857,5.857,5.857,5.857,5.857,5.863,5.863,5.863,18.43126957,18.43126957,18.43126957,20.553,20.553,20.553,20.553,20.553,20.553,19.274,19.274,19.274,7.71962,7.71962,7.71962,8.811,8.811,8.811,8.811,8.811,8.811,7.619,7.619,7.619,1,,,,,,0,0,0,0,0.9948135581410354,0.0,connected_0,19.229,7.574,28.8435,11.361,28.8435,11.361
73,전라남도,고흥군,34.66869716,127.4710925,원주도,467701020,연결,미운항,보유,해당 없음,해당,해당 없음,해당,해당 없음,53,▼3.8%,-2,51,34,22,29,0.7221,5.5407,0.6899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,X,○,X,X,X,X,X,X,○,X,X,X,X,7.635278685,7.635278685,7.635278685,7.233,7.233,7.233,7.233,7.233,7.233,7.265,7.265,7.265,25.3066886,25.3066886,25.3066886,24.143,24.143,24.143,24.143,24.143,24.143,25.401,25.401,25.401,15.65647,15.65647,15.65647,15.186,15.186,15.186,15.186,15.186,15.186,15.21,15.21,15.21,1,,,,,,0,0,0,0,0.4762079207108847,0.0,connected_0,24.775,14.585,37.1625,21.8775,37.1625,21.8775
74,전라남도,고흥군,34.71373303,127.4430077,진지도,467701021,미연결,미운항,보유,해당,해당,해당 없음,해당,해당 없음,6,0.00%,0,6,4,2,4,0.6163,7.3297,0.5761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,X,○,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0,1,0,0,1.9659445286388049,3.931889057277609,dist_based,20.186,8.531,30.279000000000003,12.796500000000002,34.21088905727761,16.72838905727761
75,전라남도,고흥군,34.56586115,127.4699152,대옥대도,467701022,미연결,미운항,보유,해당 없음,해당,해당 없음,해당,해당 없음,2,▼50.0%,-1,1,1,1,0,0.1661,3.0962,0.1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,○,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,1.819,1.819,1.819,,,,,,,,,,24.555,24.555,24.555,,,,,,,,,,19.507,19.507,19.507,1,,,,,,0,0,0,0,1.5780367167742673,3.1560734335485345,dist_based,23.563,18.516,35.344500000000004,27.774,38.50057343354854,30.93007343354853
76,전라남도,고흥군,34.497995,127.4704786,내나로도,467701023,연결,미운항,보유,해당 없음,해당,해당 없음,해당,해당 없음,1397,▲0.8%,11,1408,856,735,673,20.8988,49.1287,20.5959,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,17,3,4,1,5,16,9,1,3,12,9,0,0,0,0,1,1,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,3.884883250180722,0.424769616,8.812609771,3.5082289156626505,0.408,7.894,3.5082289156626505,0.408,7.894,3.4001566265060243,0.4,7.878,30.20542155120481,24.22496417,35.69958233,28.77353012048193,23.854,41.191,28.60757831325301,23.854,32.416,28.48192771084337,23.75,32.406,9.288747228915662,2.64072,16.28882,7.965397590361446,2.509,13.45,7.965397590361446,2.509,13.45,7.907506024096385,2.509,13.435,83,,,,,,0,0,0,1,4.320813249371391,0.0,connected_0,23.349,11.997,35.023500000000006,17.9955,35.023500000000006,11.861259036144578
77,전라남도,보성군,34.78314428,127.4468976,장도,467801001,미연결,운항,보유,해당,해당,해당 없음,해당,해당 없음,231,▼6.1%,-14,217,153,111,106,2.3988,20.3583,2.26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,147.0,147.0,147.0,2.0,1.0,1,1,0,1,3.909152251694707,7.818304503389413,dist_based,10.0,10.71,15.0,16.065,22.818304503389413,10.0
78,전라남도,보성군,34.80916795,127.4410213,해도,467801002,미연결,운항,보유,해당,해당,해당 없음,해당,해당 없음,37,▼21.6%,-8,29,18,21,8,0.2126,2.6327,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,1,0,0,1.9210834822078733,3.842166964415747,dist_based,10.0,10.71,15.0,16.065,18.842166964415743,19.907166964415747
79,전라남도,보성군,34.78233287,127.4229841,지주도,467801003,미연결,미운항,보유,해당,해당,해당 없음,해당,해당 없음,20,0.00%,0,20,11,14,6,0.4856,6.3844,0.4618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,1,0,0,2.46766523220641,4.93533046441282,dist_based,8.804,9.515,13.206,14.2725,18.14133046441282,19.207830464412822
80,전라남도,장흥군,34.61631798,127.0128122,장재도,468001001,연결,미운항,보유,해당 없음,해당,해당 없음,해당,해당 없음,10,▼30.0%,-3,7,4,3,4,0.4665,3.7951,0.4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,2.837543553,2.140228065,3.402783875,4.316,3.73,4.802,4.316,3.73,4.802,3.280666666666667,2.7,3.76,15.044638386666668,14.3473229,15.60987871,13.978333333333332,13.392,14.464,13.978333333333332,13.392,14.464,14.023,13.364,14.659,12.789166666666668,12.09185,13.35441,14.480333333333334,13.894,14.966,14.480333333333334,13.894,14.966,12.151000000000002,11.514,12.748,3,,,,,,0,0,0,0,0.9625190116040352,0.0,connected_0,12.762,12.424,19.143,18.636,19.143,18.636
81,전라남도,장흥군,34.46138571,126.9614817,노력도,468001002,연결,운항,보유,해당 없음,해당,해당 없음,해당,해당 없음,147,▲3.4%,5,152,91,78,74,0.9478,7.3202,0.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,○,X,X,X,X,X,X,X,○,X,X,X,X,5.770819891,4.737766714,7.273998082,4.875,4.176,5.874,4.875,4.176,5.874,4.867,4.165,5.863,33.769070230000004,32.73601705,35.27224842,31.51533333333333,30.816,32.514,31.51533333333333,30.816,32.514,31.304666666666662,30.603,32.3,6.60148,5.56843,8.10466,5.678333333333334,4.98,6.677,5.678333333333334,4.98,6.677,5.686,4.985,6.681,3,20.0,20.0,20.0,10.0,1.0,1,0,0,0,0.4666076911285046,0.0,connected_0,32.067,6.448,48.1005,9.672,48.1005,9.672
