섬코드,섬이름,시군구,cluster,bottleneck_type,pop,Y_base,Y_S3,Y단축_S3
468901024,사후도,완도군,0,육지지배형,57,20.8,20.8,0.0
468901025,고마도,완도군,0,육지지배형,87,23.3,23.3,0.0
468901026,토도,완도군,0,육지지배형,34,35.1,35.1,0.0
468901039,청산도,완도군,0,해상지배형,1810,46.3,46.3,0.0
468901040,장도(청산면),완도군,0,해상지배형,19,37.8,37.8,0.0
468901041,대모도,완도군,0,해상지배형,190,30.6,30.6,0.0
468901042,소모도,완도군,0,해상지배형,26,25.5,25.5,0.0
468901050,허우도,완도군,0,육지지배형,10,27.9,27.9,0.0
468901035,고금도,완도군,0,육지지배형,3820,31.7,31.7,0.0
468901048,금당도,완도군,0,육지지배형,813,33.5,33.5,0.0
468901049,비견도,완도군,0,육지지배형,35,31.0,31.0,0.0
469001014,하조도,진도군,0,혼합형,1048,59.5,59.5,0.0
469001025,탄항도,진도군,0,혼합형,1,56.4,56.4,0.0
467801001,장도,보성군,0,육지지배형,217,22.8,22.8,0.0
467701023,내나로도,고흥군,0,육지지배형,1408,35.0,35.0,0.0
467701010,첨도,고흥군,0,육지지배형,8,37.3,37.3,0.0
467701011,오도,고흥군,0,육지지배형,129,18.5,18.5,0.0
467701012,취도,고흥군,0,육지지배형,191,24.7,24.7,0.0
467701009,지죽도,고흥군,0,육지지배형,195,42.5,42.5,0.0
467701014,사양도,고흥군,0,육지지배형,174,35.0,35.0,0.0
467701015,애도,고흥군,0,육지지배형,32,48.6,48.6,0.0
467701016,수락도,고흥군,0,육지지배형,22,39.7,39.7,0.0
467701001,상화도,고흥군,0,혼합형,33,9.9,9.9,0.0
467701002,하화도,고흥군,0,육지지배형,37,22.8,22.8,0.0
467701003,득량도,고흥군,0,혼합형,73,20.5,20.5,0.0
467701004,소록도,고흥군,0,육지지배형,522,4.4,4.4,0.0
467701013,외나로도,고흥군,0,육지지배형,1586,35.0,35.0,0.0
467701005,시산도,고흥군,0,육지지배형,191,47.4,47.4,0.0
467701006,거금도,고흥군,0,육지지배형,3934,24.9,24.9,0.0
